handle,nome_social_blade,seguidores,seguindo,posts,taxa_engaj_pct,media_curtidas,media_comentarios,url_social_blade
julia_ferrari,Julia Ferrari,1242283,2884,642,7.70,94947.63,731.88,https://socialblade.com/instagram/user/julia_ferrari
joaovitormello,João Vítor Mello,720648,2449,923,5.94,41973.81,858.25,https://socialblade.com/instagram/user/joaovitormello
rufislore,Lorena Rufino,3525456,616,606,1.44,49971.44,786.00,https://socialblade.com/instagram/user/rufislore
barbaracoura,Bárbara Coura,3475299,917,1789,3.77,130204.88,930.19,https://socialblade.com/instagram/user/barbaracoura
raphaelvicente,Raphael Vicente,1087923,2470,858,6.19,65179.56,2125.19,https://socialblade.com/instagram/user/raphaelvicente
rafaelsaraiva28,Rafael Saraiva,363280,3234,171,11.04,39135.31,978.75,https://socialblade.com/instagram/user/rafaelsaraiva28
pedroottoni_,Pedro Ottoni,624115,2171,116,3.31,20339.75,318.13,https://socialblade.com/instagram/user/pedroottoni_
ademara,Ademara,720006,2510,1127,15.44,109491.60,1706.40,https://socialblade.com/instagram/user/ademara
