instagram_handle,ig_seguidores,ig_taxa_engaj_pct,tiktok_handle,youtube_channel_id,youtube_sb_match,x_handle_oficial,x_perfil_confirmado
julia_ferrari,1242283,7.70,juliaferraric,UC8nmSfYnqfKQAbyOiAf80cw,sim,,nao
joaovitormello,720648,5.94,joaovitormello,,nao,,nao
rufislore,3525456,1.44,lorerufis,UCneghyS1-OOokdr9ycNsi2g,nao,lorerufis,sim
barbaracoura,3475299,3.77,barbaracoura,UCQ9f8VBJD7sT2ySq0IDtARA,sim,,nao
raphaelvicente,1087923,6.19,raphaelviicente,UC_Y5JqPqYhgiHNHDWU9Ra5A,nao,raphaelviicente,sim
rafaelsaraiva28,363280,11.04,saraivarafael28,,nao,,nao
pedroottoni_,624115,3.31,pedroottoni_,UChm7f9q5PDct15UtsjR1rEw,nao,,nao
ademara,720006,15.44,ademaravilha,UC_wRBFXlTy69pPqhw5cBpMQ,sim,ademaravilha,sim
