nome_squad,instagram,ig_seguidores,ig_er_pct,tiktok_handle,tt_followers_upfluence,tt_er_pct,youtube_channel_id,youtube_sb_subs,youtube_sb_match,x_handle,x_atividade,rede_principal_estimada,notas_identidade
Julia Ferrari,julia_ferrari,1242283,7.70,juliaferraric,1.7M,8.49,UC8nmSfYnqfKQAbyOiAf80cw + UC3k7iLd0ZTOQZytXTwheWYQ,250000 (SB @juliaferraric),sim SB @juliaferraric,,n/a,TikTok/IG,TikTok handle @juliaferraric; X não confirmado
João Vítor Mello,joaovitormello,720648,5.94,joaovitormello,1.9M,0.49,,,,n/a,TikTok,Sem YT homologado; @joaovitormello no YouTube/X não é este creator
Lorena Rufino,rufislore,3525456,1.44,lorerufis,3.5M,1.14,UCneghyS1-OOokdr9ycNsi2g,,nao,lorerufis,com_posts_recentes,IG/TikTok,IG maior base; X @lorerufis ~24K seg. e posts 2025–26 na página pública (checagem 07/04/2026)
Bárbara Coura,barbaracoura,3475299,3.77,barbaracoura,13.5M,1.63,UCQ9f8VBJD7sT2ySq0IDtARA,4330000,sim,,n/a,TikTok,TikTok maior alcance vs IG
Raphael Vicente,raphaelvicente,1087923,6.19,raphaelviicente,3.3M,1.08,UC_Y5JqPqYhgiHNHDWU9Ra5A,,nao,raphaelviicente,inativa,TikTok,SB YT sem página; X ~224K seg. sem posts recentes na amostra pública (~2022)
Rafael Saraiva,rafaelsaraiva28,363280,11.04,saraivarafael28,216.1K,6.10,,,,,n/a,IG,Sem YT no dossiê; TikTok menor vs IG
Pedro Ottoni,pedroottoni_,624115,3.31,pedroottoni_,1.2M,1.89,UChm7f9q5PDct15UtsjR1rEw,,nao,,n/a,TikTok,SB YT sem página; X não confirmado
Ademara,ademara,720006,15.44,ademaravilha,609.6K,0.48,UC_wRB… + SB UCrni…,1650 (ademara0),sim (SB),ademaravilha,pouca_atividade,IG,IG engagement alto; YT SB só @ademara0; X ~197K seg. post mar/2025 visível (07/04/2026)
