nome_instagram,handle_youtube_oficial,channel_id,url_canal,observacao
julia_ferrari,julia_ferrari,UC8nmSfYnqfKQAbyOiAf80cw,https://www.youtube.com/@julia_ferrari,Segundo canal @juliaferraric = UC3k7iLd0ZTOQZytXTwheWYQ
joaovitormello,joaovitormello,UC5JCz2VsZvOpEyADHuDqaOg,https://www.youtube.com/@joaovitormello,
rufislore,rufislore,UCneghyS1-OOokdr9ycNsi2g,https://www.youtube.com/@rufislore,@lorerufis e outro UC
barbaracoura,barbaracoura,UCQ9f8VBJD7sT2ySq0IDtARA,https://www.youtube.com/@barbaracoura,
raphaelvicente,raphaelvicente,UC_Y5JqPqYhgiHNHDWU9Ra5A,https://www.youtube.com/@raphaelvicente,
rafaelsaraiva28,,,,404 sem canal @
pedroottoni_,PedroOttoni,UChm7f9q5PDct15UtsjR1rEw,https://www.youtube.com/@PedroOttoni,@pedroottoni redireciona igual
ademara,ademara,UC_wRBFXlTy69pPqhw5cBpMQ,https://www.youtube.com/@ademara,Linktree tambem @ademara0 = UCrniFvw_5DuEECvLHFAyRXA
