nome_squad,instagram_handle,tiktok_handle,url_perfil,nome_exibido_tiktok,seguidores_aprox,observacao
Julia Ferrari,julia_ferrari,juliaferraric,https://www.tiktok.com/@juliaferraric,julia ferrari,1.7M,Handle TikTok com “c” (alinhado ao @juliaferraric no YT); @julia_ferrari no IG
João Vítor Mello,joaovitormello,joaovitormello,https://www.tiktok.com/@joaovitormello,João Vítor Mello,1.9M,
Lorena Rufino,rufislore,lorerufis,https://www.tiktok.com/@lorerufis,lorerufis,3.5M,Bio cita IG @RUFISLORE; @rufislore no TikTok é outra conta (~27K)
Bárbara Coura,barbaracoura,barbaracoura,https://www.tiktok.com/@barbaracoura,Bárbara Coura,13.5M,
Raphael Vicente,raphaelvicente,raphaelviicente,https://www.tiktok.com/@raphaelviicente,Raphael Vicente,3.3M,Dois “i” no handle; @raphaelvicente no TikTok é conta vazia/não oficial
Rafael Saraiva,rafaelsaraiva28,saraivarafael28,https://www.tiktok.com/@saraivarafael28,Rafael Saraiva,216K,Upfluence: handle @saraivarafael28 (diferente do IG); @rafaelsaraiva28 era outra conta/privada
Pedro Ottoni,pedroottoni_,pedroottoni_,https://www.tiktok.com/@pedroottoni_,Pedro Ottoni,1.2M,
Ademara,ademara,ademaravilha,https://www.tiktok.com/@ademaravilha,Ademara,609K,Linktree linktr.ee/ademaravilha; @ademara/@ademara0 no TikTok não são o perfil principal
