nome_squad,tiktok_handle,nome_exibido_upfluence,engagement_rate_pct,followers,avg_comments,avg_likes,avg_shares,avg_plays,followings,total_likes,total_videos,audience_female_pct,audience_male_pct
Julia Ferrari,juliaferraric,julia ferrari,8.49,1.7M,447.26,143.9K,8.7K,924.8K,670,116.7M,458,,
João Vítor Mello,joaovitormello,João Vítor Mello,0.49,1.9M,93.51,9.2K,616.82,74.7K,1.2K,69.2M,1.1K,,
Lorena Rufino,lorerufis,lorerufis,1.14,3.5M,77.18,39.7K,1.5K,361.8K,69,128.2M,904,,
Bárbara Coura,barbaracoura,Bárbara Coura,1.63,13.5M,1.2K,219.0K,12.5K,1.8M,645,682.9M,2.1K,80.23,19.77
Raphael Vicente,raphaelviicente,Raphael Vicente,1.08,3.3M,153.05,35.5K,654.55,538.9K,444,55.9M,421,,
Rafael Saraiva,saraivarafael28,Rafael Saraiva,6.10,216.1K,96.58,13.1K,1.4K,107.5K,122,8.8M,361,61.02,38.98
Pedro Ottoni,pedroottoni_,Pedro Ottoni,1.89,1.2M,186.69,22.5K,1.5K,95.4K,607,27.5M,550,71.45,28.55
Ademara,ademaravilha,Ademara,0.48,609.6K,11.33,2.9K,11.67,26.2K,178,12.7M,239,,
