channel_id,chave_yaml,nota_handle,nome_canal_feed,ultimo_video_id,ultimo_titulo,ultimo_publicado_utc,feed_url,rss_captura_em,status
UC8nmSfYnqfKQAbyOiAf80cw,julia_ferrari,@julia_ferrari,,,,,https://www.youtube.com/feeds/videos.xml?channel_id=UC8nmSfYnqfKQAbyOiAf80cw,2026-04-06,feed sem entry
UC3k7iLd0ZTOQZytXTwheWYQ,julia_ferraric,@juliaferraric (secundário SB),Julia Ferrari,xDSBVcjaDhk,kkkkkkkkk 😀,2026-04-05T15:06:19+00:00,https://www.youtube.com/feeds/videos.xml?channel_id=UC3k7iLd0ZTOQZytXTwheWYQ,2026-04-06,ok
UCneghyS1-OOokdr9ycNsi2g,rufislore,@rufislore,Rufis Lore,VG0tRqr1jZg,novo hit da casa 😅,2026-02-24T03:00:36+00:00,https://www.youtube.com/feeds/videos.xml?channel_id=UCneghyS1-OOokdr9ycNsi2g,2026-04-06,ok
UCQ9f8VBJD7sT2ySq0IDtARA,barbaracoura,@barbaracoura,Bárbara Coura,xDV8GJ0uZVw,VONTADE DE MALHAR - bárbara coura #shorts,2026-03-28T19:35:06+00:00,https://www.youtube.com/feeds/videos.xml?channel_id=UCQ9f8VBJD7sT2ySq0IDtARA,2026-04-06,ok
UC_Y5JqPqYhgiHNHDWU9Ra5A,raphaelvicente,@raphaelvicente,,,,,https://www.youtube.com/feeds/videos.xml?channel_id=UC_Y5JqPqYhgiHNHDWU9Ra5A,2026-04-06,feed sem entry
UChm7f9q5PDct15UtsjR1rEw,PedroOttoni,@PedroOttoni,Pedro Ottoni,bneN5gWnH6g,Teste streamyard,2021-01-26T15:12:07+00:00,https://www.youtube.com/feeds/videos.xml?channel_id=UChm7f9q5PDct15UtsjR1rEw,2026-04-06,ok
UC_wRBFXlTy69pPqhw5cBpMQ,ademara,@ademara,,,,,https://www.youtube.com/feeds/videos.xml?channel_id=UC_wRBFXlTy69pPqhw5cBpMQ,2026-04-06,feed sem entry
UCrniFvw_5DuEECvLHFAyRXA,ademara0,@ademara0 (linktree),Ademara,Aq5ZBzwQ094,Monstro de #halloween? Homem Branco 2025 👻 #humor #boburnham #parodia #homem,2025-11-01T14:15:09+00:00,https://www.youtube.com/feeds/videos.xml?channel_id=UCrniFvw_5DuEECvLHFAyRXA,2026-04-06,ok
