instagram_handle,youtube_handle_oficial,channel_id,sb_url,sb_match,subscribers_sb,views_sb,videos_sb,grade,sb_rank,notas
julia_ferrari,juliaferraric,UC3k7iLd0ZTOQZytXTwheWYQ,https://socialblade.com/youtube/channel/UC3k7iLd0ZTOQZytXTwheWYQ,sim,250000,63398899,156,B-,164302,Handle SB @juliaferraric (IG @julia_ferrari). Canal @julia_ferrari UC8nm… sem página SB útil
joaovitormello,joaovitormello,UC5JCz2VsZvOpEyADHuDqaOg,,nao,,,,,,SB sem indexação / página UC só Show Details+Reload
rufislore,rufislore,UCneghyS1-OOokdr9ycNsi2g,,nao,,,,,,SB sem indexação. Não confundir com Lore Rufis @lorerufis7731 (UCMcN… outro canal)
barbaracoura,barbaracoura,UCQ9f8VBJD7sT2ySq0IDtARA,https://socialblade.com/youtube/channel/UCQ9f8VBJD7sT2ySq0IDtARA,sim,4330000,2425217842,989,B+,57503,
raphaelvicente,raphaelvicente,UC_Y5JqPqYhgiHNHDWU9Ra5A,,nao,,,,,,SB sem indexação / página UC só Show Details+Reload
pedroottoni_,PedroOttoni,UChm7f9q5PDct15UtsjR1rEw,,nao,,,,,,Canal @PedroOttoni; SB sem indexação. @ATORmentado é outro canal
ademara,ademara0,UCrniFvw_5DuEECvLHFAyRXA,https://socialblade.com/youtube/channel/UCrniFvw_5DuEECvLHFAyRXA,sim,1650,104061,19,,,@ademara (UC_wRB…) sem página SB; métricas do @ademara0 (linktree)
rafaelsaraiva28,,,,nao,,,,,,Sem canal YouTube no dossiê (N/A)
